,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
30982,4.0,0.3,0.7,4.0,1,21.0,44,0,0,1.0,0.0,0.0,0.0,0.0,0
30983,4.0,0.3,0.5,4.0,1,15.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30984,5.0,0.3,0.6,4.0,1,15.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30985,4.0,0.3,0.7,4.0,1,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30986,2.0,0.3,0.7,4.0,1,19.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30987,4.0,0.3,0.6,4.0,1,21.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30988,6.0,0.3,0.6,4.0,1,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30989,7.0,0.3,0.5,4.0,1,23.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
30990,9.0,0.3,0.5,4.0,1,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0
30991,9.0,0.3,0.5,4.0,1,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
30992,9.0,0.3,0.6,4.0,1,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30993,9.0,0.3,0.6,4.0,1,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0
30994,10.0,0.3,0.5,4.0,1,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30995,10.0,0.3,0.5,4.0,1,25.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
30996,10.0,0.3,0.5,4.0,1,25.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0
30997,10.0,0.3,0.6,4.0,1,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
